date,code,sector,level,parent_code,outstanding_cr,release_date
2025-06-30,T,NBFC Credit,0,,5185864.666942641,2026-06-30
2025-06-30,1,Agriculture and Allied Activities,1,T,67560.37492562368,2026-06-30
2025-06-30,2,Industry,1,T,2066049.162950711,2026-06-30
2025-06-30,3,Services,1,T,654891.3643852766,2026-06-30
2025-06-30,4,Retail Loans,1,T,2128877.4688063455,2026-06-30
2025-06-30,5,Other Loans,1,T,268486.2958746845,2026-06-30
2025-06-30,2.1,Infrastructure,2,2,1912177.9020166653,2026-06-30
2025-06-30,3.1,Transport Operators,2,3,160118.04284401608,2026-06-30
2025-06-30,3.2,Trade,2,3,98247.47265316077,2026-06-30
2025-06-30,3.3,Commercial Real Estate,2,3,83322.94024152872,2026-06-30
2025-06-30,4.1,Housing Loans,2,4,757926.6956203337,2026-06-30
2025-06-30,4.2,Vehicle Loans,2,4,541666.784898512,2026-06-30
2025-06-30,4.3,Loans against gold jewellery,2,4,201721.0924331462,2026-06-30
2025-06-30,4.4,Consumer Durables,2,4,49194.647303355436,2026-06-30
2025-06-30,2.1.1,Power,3,2.1,1359262.6131707386,2026-06-30
2025-07-31,T,NBFC Credit,0,,5210493.14071065,2026-07-31
2025-07-31,1,Agriculture and Allied Activities,1,T,68041.81956127846,2026-07-31
2025-07-31,2,Industry,1,T,2060729.4994571817,2026-07-31
2025-07-31,3,Services,1,T,667640.0248274605,2026-07-31
2025-07-31,4,Retail Loans,1,T,2146004.128373834,2026-07-31
2025-07-31,5,Other Loans,1,T,268077.6684908961,2026-07-31
2025-07-31,2.1,Infrastructure,2,2,1897418.4307993513,2026-07-31
2025-07-31,3.1,Transport Operators,2,3,161561.5424611056,2026-07-31
2025-07-31,3.2,Trade,2,3,100754.20954218348,2026-07-31
2025-07-31,3.3,Commercial Real Estate,2,3,84584.97255476541,2026-07-31
2025-07-31,4.1,Housing Loans,2,4,763939.1507809373,2026-07-31
2025-07-31,4.2,Vehicle Loans,2,4,546749.8516781047,2026-07-31
2025-07-31,4.3,Loans against gold jewellery,2,4,210062.132470198,2026-07-31
2025-07-31,4.4,Consumer Durables,2,4,49283.013490888836,2026-07-31
2025-07-31,2.1.1,Power,3,2.1,1343636.120655706,2026-07-31
2026-03-31,T,NBFC Credit,0,,5775989.372760969,2026-07-31
2026-03-31,1,Agriculture and Allied Activities,1,T,77558.9848207498,2026-07-31
2026-03-31,2,Industry,1,T,2206802.914364554,2026-07-31
2026-03-31,3,Services,1,T,749499.9555485048,2026-07-31
2026-03-31,4,Retail Loans,1,T,2438380.0999904852,2026-07-31
2026-03-31,5,Other Loans,1,T,303747.418036676,2026-07-31
2026-03-31,2.1,Infrastructure,2,2,2015735.1496044172,2026-07-31
