report_date,bank_name,bank_category,record_type,metric,value,unit,data_status
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,dc_pos_txn_vol,0.0,transactions,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,dc_pos_withdrawal_val,0.0,rs_thousands,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,dc_pos_withdrawal_vol,0.0,transactions,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,debit_cards,0.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,micro_atms,0.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,pos_terminals,11239.0,count,provisional
2025-10-31,AMERICAN EXPRESS BANKING CORPORATION,Foreign Banks,bank,upi_qr,0.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,atm_offsite,6.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,atm_onsite,721.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,bharat_qr,0.0,count,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_atm_withdrawal_val,18255.3,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_atm_withdrawal_vol,2913.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_ecom_txn_val,6431200.84557,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_ecom_txn_vol,2512572.0,transactions,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_other_txn_val,47.073,rs_thousands,provisional
2025-10-31,AU SMALL FINANCE BANK LTD,Small Finance Banks,bank,cc_other_txn_vol,77.0,transactions,provisional
